AP SCORES,AMERICAN INDIAN/ALASKA NATIVE MALES 5,AMERICAN INDIAN/ALASKA NATIVE MALES 4,AMERICAN INDIAN/ALASKA NATIVE MALES 3,AMERICAN INDIAN/ALASKA NATIVE MALES 2,AMERICAN INDIAN/ALASKA NATIVE MALES 1,ASIAN MALES 5,ASIAN MALES 4,ASIAN MALES 3,ASIAN MALES 2,ASIAN MALES 1,BLACK MALES 5,BLACK MALES 4,BLACK MALES 3,BLACK MALES 2,BLACK MALES 1,HISPANIC/LATINO MALES 5,HISPANIC/LATINO MALES 4,HISPANIC/LATINO MALES 3,HISPANIC/LATINO MALES 2,HISPANIC/LATINO MALES 1,NATIVE HAWAIIAN/OTH PACF ISL MALES 5,NATIVE HAWAIIAN/OTH PACF ISL MALES 4,NATIVE HAWAIIAN/OTH PACF ISL MALES 3,NATIVE HAWAIIAN/OTH PACF ISL MALES 2,NATIVE HAWAIIAN/OTH PACF ISL MALES 1,WHITE MALES 5,WHITE MALES 4,WHITE MALES 3,WHITE MALES 2,WHITE MALES 1,TWO OR MORE RACES MALES 5,TWO OR MORE RACES MALES 4,TWO OR MORE RACES MALES 3,TWO OR MORE RACES MALES 2,TWO OR MORE RACES MALES 1,NO RESPONSE MALES 5,NO RESPONSE MALES 4,NO RESPONSE MALES 3,NO RESPONSE MALES 2,NO RESPONSE MALES 1,AMERICAN INDIAN/ALASKA NATIVE FEMALES 5,AMERICAN INDIAN/ALASKA NATIVE FEMALES 4,AMERICAN INDIAN/ALASKA NATIVE FEMALES 3,AMERICAN INDIAN/ALASKA NATIVE FEMALES 2,AMERICAN INDIAN/ALASKA NATIVE FEMALES 1,ASIAN FEMALES 5,ASIAN FEMALES 4,ASIAN FEMALES 3,ASIAN FEMALES 2,ASIAN FEMALES 1,BLACK FEMALES 5,BLACK FEMALES 4,BLACK FEMALES 3,BLACK FEMALES 2,BLACK FEMALES 1,HISPANIC/LATINO FEMALES 5,HISPANIC/LATINO FEMALES 4,HISPANIC/LATINO FEMALES 3,HISPANIC/LATINO FEMALES 2,HISPANIC/LATINO FEMALES 1,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 5,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 4,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 3,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 2,NATIVE HAWAIIAN/OTH PACF ISL FEMALES 1,WHITE FEMALES 5,WHITE FEMALES 4,WHITE FEMALES 3,WHITE FEMALES 2,WHITE FEMALES 1,TWO OR MORE RACES FEMALES 5,TWO OR MORE RACES FEMALES 4,TWO OR MORE RACES FEMALES 3,TWO OR MORE RACES FEMALES 2,TWO OR MORE RACES FEMALES 1,NO RESPONSE FEMALES 5,NO RESPONSE FEMALES 4,NO RESPONSE FEMALES 3,NO RESPONSE FEMALES 2,NO RESPONSE FEMALES 1,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 5,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 4,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 3,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 2,AMERICAN INDIAN/ALASKA NATIVE ANOTHER 1,ASIAN ANOTHER 5,ASIAN ANOTHER 4,ASIAN ANOTHER 3,ASIAN ANOTHER 2,ASIAN ANOTHER 1,BLACK ANOTHER 5,BLACK ANOTHER 4,BLACK ANOTHER 3,BLACK ANOTHER 2,BLACK ANOTHER 1,HISPANIC/LATINO ANOTHER 5,HISPANIC/LATINO ANOTHER 4,HISPANIC/LATINO ANOTHER 3,HISPANIC/LATINO ANOTHER 2,HISPANIC/LATINO ANOTHER 1,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 5,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 4,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 3,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 2,NATIVE HAWAIIAN/OTH PACF ISL ANOTHER 1,WHITE ANOTHER 5,WHITE ANOTHER 4,WHITE ANOTHER 3,WHITE ANOTHER 2,WHITE ANOTHER 1,TWO OR MORE RACES ANOTHER 5,TWO OR MORE RACES ANOTHER 4,TWO OR MORE RACES ANOTHER 3,TWO OR MORE RACES ANOTHER 2,TWO OR MORE RACES ANOTHER 1,NO RESPONSE ANOTHER 5,NO RESPONSE ANOTHER 4,NO RESPONSE ANOTHER 3,NO RESPONSE ANOTHER 2,NO RESPONSE ANOTHER 1
MUSIC THEORY,3,5,13,14,4,438,260,279,198,55,49,31,64,88,65,200,188,319,329,201,4,5,4,1,1,1101,990,1413,1153,355,109,110,118,106,39,93,62,76,87,25,8,6,8,9,9,530,280,294,154,39,34,38,75,100,64,148,162,247,295,185,1,0,3,1,1,956,845,1116,931,351,119,90,94,91,32,82,45,51,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0
PHYSICS 1,17,50,96,76,100,2724,4385,4679,3999,2416,73,262,518,866,1173,607,1678,2893,4118,4992,7,19,26,25,25,3977,9161,12553,11529,5975,440,795,1078,1086,626,425,707,814,677,436,8,13,34,45,93,1361,2492,3079,3083,2361,46,153,395,784,1519,174,599,1350,2751,5421,2,7,11,16,25,1524,3790,6530,7785,5568,211,449,686,825,668,186,316,403,395,341,0,0,0,0,0,1,3,2,1,3,0,0,0,2,5,1,0,2,6,11,0,0,0,0,0,9,16,14,8,14,0,3,4,4,4,1,1,6,5,5
PHYSICS 2,0,3,10,7,2,712,1006,1213,531,104,16,49,104,103,35,133,296,630,521,221,0,2,7,4,0,835,1693,2702,1682,321,84,170,227,130,26,88,118,155,79,14,0,4,2,3,2,274,406,506,291,54,6,20,45,54,19,32,70,178,192,129,0,0,0,0,0,207,604,943,644,158,31,69,96,51,19,27,35,66,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
PHYSICS C: ELEC. & MAGNET.,4,7,2,0,3,2563,1153,535,743,394,52,52,34,56,60,358,311,175,297,247,3,3,1,0,3,2697,1701,943,1294,643,315,186,87,105,74,301,137,64,88,38,6,1,2,0,0,852,410,214,293,170,18,22,16,36,32,54,78,54,74,77,0,0,0,0,0,657,512,262,379,212,90,62,36,51,24,88,42,20,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0
PHYSICS C: MECHANICS,18,10,11,5,6,4924,2337,1289,670,356,142,164,137,107,85,984,860,623,434,406,14,8,1,0,3,6885,4668,2819,1559,967,709,433,286,131,91,618,283,182,80,46,5,7,2,3,6,1860,1146,649,353,236,55,88,64,65,62,250,268,254,199,262,2,4,1,0,5,2037,1790,1182,623,419,268,191,143,74,46,188,128,62,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4,0,1,0,0,0,0,0,0,0,0,0,0
PSYCHOLOGY,40,91,97,51,111,4989,4502,3391,1160,1919,445,849,1089,594,1613,2135,3337,3953,1907,4676,24,25,42,24,32,10651,13367,12163,4628,7641,997,1148,1043,433,766,733,753,639,249,507,113,147,198,74,251,8884,7262,5480,1822,3038,1225,2196,2789,1514,4369,4468,7008,8363,4239,11451,23,53,52,26,76,24782,27911,24796,9581,15897,2202,2445,2247,920,1724,1089,1069,975,405,957,0,0,0,0,0,7,3,8,1,3,0,2,3,3,6,9,10,13,6,20,0,0,0,0,0,39,41,45,15,24,4,7,2,4,7,4,6,7,3,6
RESEARCH,0,7,5,4,0,161,413,345,274,29,14,81,168,199,42,62,336,409,486,64,1,3,4,6,0,293,1051,1035,877,75,29,96,94,87,12,22,59,49,51,3,1,13,12,10,1,263,728,524,333,37,43,264,410,433,62,129,633,803,703,69,0,6,3,2,1,477,2057,1943,1207,81,55,226,209,144,12,34,77,68,48,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0
SEMINAR,7,18,78,38,5,301,529,1718,357,34,33,85,696,520,130,116,334,2062,1033,194,1,3,10,6,2,502,1266,5593,1491,156,45,110,516,159,24,46,102,413,159,29,6,18,125,31,3,508,922,2377,345,17,90,274,1767,875,169,199,670,4009,1502,211,2,7,27,15,0,972,2326,8883,1696,130,121,277,942,247,29,85,147,597,184,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,3,16,5,1,0,0,0,0,0,0,1,4,7,0
SPANISH LANG. & CULTURE,31,66,50,23,8,824,1596,1116,431,46,73,214,226,210,75,12245,13854,8037,2925,351,5,13,9,3,1,2184,4836,4175,1918,342,185,426,349,180,29,553,837,553,232,31,66,93,64,30,10,1355,2582,1787,622,90,242,536,646,452,146,26965,24778,13007,3999,396,12,19,16,8,1,4239,8964,7237,3215,446,380,771,664,295,56,1050,1273,737,264,38,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,23,18,14,5,2,0,0,0,0,0,5,8,8,7,0,0,2,2,1,0,6,6,7,1,0
SPANISH LITERATURE & CULTURE,2,4,5,5,1,70,40,55,16,5,7,5,18,13,4,804,975,2368,1560,345,0,0,0,0,0,193,186,317,109,32,12,13,20,11,0,17,25,59,43,13,2,6,12,9,2,153,88,107,16,5,18,22,50,23,6,2017,2455,5449,2830,567,0,0,0,0,0,494,412,562,235,26,45,35,50,18,4,41,53,116,78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STATISTICS,22,49,47,66,72,4862,4461,3703,2655,1745,152,316,479,693,1090,960,1619,2284,2988,3710,11,13,32,24,33,7023,9832,11412,10382,7499,627,776,921,847,645,550,573,536,394,312,24,37,47,53,88,4572,4572,3878,2831,1913,207,464,759,1185,1771,868,1753,2896,3996,5606,6,15,18,34,41,7193,10766,12788,11715,7808,692,977,1100,1031,837,438,397,396,291,274,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,1,5,7,6,9,0,0,0,0,0,6,17,18,18,16,2,1,0,2,2,3,1,1,6,1
2-D ART AND DESIGN,6,9,27,6,1,143,337,354,94,3,32,136,301,139,19,170,560,985,410,50,1,6,5,3,0,385,1235,1602,384,18,35,128,172,32,7,22,95,128,50,7,8,47,58,26,2,647,1176,898,144,4,128,469,675,235,26,545,2072,2892,804,55,1,14,16,0,0,1714,5545,5634,1017,28,193,544,558,100,4,98,279,318,76,6,0,0,0,0,0,2,4,2,0,1,0,3,2,0,0,1,9,15,2,0,0,0,0,0,0,12,37,48,11,0,1,7,6,2,0,2,13,16,1,0
3-D ART AND  DESIGN,0,0,0,0,0,21,36,40,20,2,3,12,22,23,10,16,67,92,70,27,0,0,0,0,0,69,255,235,140,25,8,16,15,11,0,4,16,11,8,1,2,6,5,7,0,31,121,129,70,7,3,30,80,53,10,37,199,274,194,42,0,0,0,0,0,120,720,831,412,47,14,62,77,44,5,12,26,35,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0
DRAWING,1,9,6,2,1,84,180,133,40,5,27,74,104,49,12,77,306,364,187,46,0,4,3,0,0,187,506,503,207,23,27,61,44,21,1,15,51,56,24,3,6,28,20,10,2,545,975,552,114,10,83,223,283,123,21,379,1316,1334,439,50,4,7,8,2,0,1259,3374,2609,594,42,137,338,274,73,8,71,165,150,51,6,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,5,8,3,0,0,0,0,0,0,8,24,20,6,2,0,0,0,0,0,3,12,5,1,0
US HISTORY,77,138,278,307,352,6603,7362,8047,4781,3288,468,1029,2281,2553,4583,3021,5380,9399,9053,13321,35,47,74,95,93,14913,22923,32079,23221,16924,1394,1939,2604,1844,1595,1268,1650,2100,1600,1622,89,159,311,280,471,7090,8251,8787,5030,3597,898,2096,4052,4529,8548,3517,6772,12363,12518,20070,27,50,96,99,155,17970,27820,36579,25591,19391,1832,2583,3367,2541,2493,1225,1495,2002,1439,1934,0,0,0,0,0,2,7,5,5,9,2,2,9,2,11,5,13,23,24,50,0,0,0,0,0,34,45,83,69,61,3,9,8,8,17,10,7,23,20,33
WORLD HISTORY: MODERN,64,215,311,379,232,3619,6772,5810,3348,1023,239,955,1843,2554,2039,1297,4256,7078,8650,6391,14,57,66,77,44,5708,15334,19072,15034,5011,616,1425,1800,1476,586,742,1579,1720,1756,933,55,175,366,394,266,4295,7453,6493,4134,1394,458,1783,3097,4507,3708,1523,5610,9988,13825,10701,20,47,97,109,58,6971,18596,22257,17885,6571,794,2093,2396,2238,997,680,1427,1795,1974,1316,1,1,4,2,3,7,4,6,7,6,0,3,5,9,15,3,10,24,38,28,0,0,0,0,0,17,48,89,68,33,0,1,10,12,7,2,13,20,41,18
